ID,Marital status,Course,Daytime/evening attendance,Educational special needs,Debtor,Gender,Scholarship holder,International,Target
1,1,2,1,0,0,1,0,0,Dropout
2,1,11,1,0,0,1,0,0,Graduate
3,1,5,1,0,0,1,0,0,Dropout
4,1,15,1,0,0,0,0,0,Graduate
5,2,3,0,0,0,0,0,0,Graduate
6,2,17,0,0,1,1,0,0,Graduate
7,1,12,1,0,0,0,1,0,Graduate
8,1,11,1,0,0,1,0,0,Dropout
9,1,10,1,0,0,0,1,1,Graduate
10,1,10,1,0,1,0,0,0,Dropout
11,1,14,1,0,0,0,0,0,Graduate
12,1,12,1,0,0,0,1,0,Graduate
13,1,16,1,0,0,0,0,0,Dropout
14,1,11,1,0,0,0,1,0,Graduate
15,1,6,1,0,0,0,1,0,Graduate
16,1,15,1,0,0,0,0,0,Dropout
17,1,10,1,0,0,0,0,0,Enrolled
18,1,12,1,0,0,0,0,0,Graduate
19,1,8,1,0,0,0,0,0,Graduate
20,1,16,1,0,0,0,0,0,Enrolled
21,1,2,1,0,0,0,1,0,Graduate
22,1,13,1,0,0,0,0,0,Enrolled
23,1,12,1,0,0,0,0,0,Graduate
24,1,14,1,0,0,0,1,0,Graduate
25,1,12,1,0,0,0,0,0,Graduate
26,1,10,1,0,1,0,1,0,Enrolled
27,1,10,1,0,0,0,0,0,Graduate
28,1,6,1,0,0,0,0,0,Enrolled
29,1,9,1,0,0,0,0,0,Graduate
30,1,12,1,0,0,1,0,0,Enrolled
31,1,4,1,0,0,1,0,0,Enrolled
32,1,5,1,0,0,1,0,0,Graduate
33,1,9,1,0,0,1,0,0,Enrolled
34,1,3,0,0,0,0,0,0,Graduate
35,1,17,0,0,0,1,0,0,Graduate
36,1,1,1,0,1,1,0,0,Dropout
37,1,7,1,0,0,1,0,0,Dropout
38,1,9,1,0,0,0,0,0,Dropout
39,4,17,0,0,0,0,0,0,Graduate
40,1,8,1,0,1,0,0,1,Dropout
41,1,15,1,0,1,0,0,0,Dropout
42,1,9,1,0,0,0,0,0,Graduate
43,1,12,1,1,0,0,0,0,Graduate
44,1,15,1,0,0,0,0,0,Dropout
45,1,17,0,0,0,0,0,0,Dropout
46,1,17,0,0,0,0,0,0,Enrolled
47,1,10,1,0,0,0,0,0,Graduate
48,1,12,1,0,0,0,1,0,Graduate
49,1,3,0,0,0,0,1,0,Graduate
50,1,10,1,0,0,0,1,0,Graduate
51,1,11,1,0,0,0,1,0,Graduate
52,1,12,1,0,0,0,1,0,Enrolled
53,1,15,1,0,0,0,1,0,Enrolled
54,1,8,1,0,0,0,0,0,Graduate
55,1,17,0,0,0,0,0,0,Dropout
56,1,12,1,0,0,0,0,0,Graduate
57,2,11,1,0,0,0,0,0,Dropout
58,1,8,1,0,0,0,0,0,Dropout
59,1,12,1,0,0,0,0,0,Graduate
60,1,2,1,0,0,0,0,0,Enrolled
61,1,12,1,0,0,0,0,0,Graduate
62,1,10,1,0,0,0,1,0,Graduate
63,1,2,1,0,0,1,1,0,Enrolled
64,1,5,1,0,0,1,0,0,Enrolled
65,1,5,1,0,0,1,0,0,Enrolled
66,4,12,1,0,0,1,0,0,Dropout
67,1,2,1,0,0,1,1,0,Graduate
68,1,4,1,0,0,1,0,0,Graduate
69,1,9,1,0,1,1,0,0,Dropout
70,1,11,1,0,0,1,0,0,Enrolled
71,1,9,1,0,0,1,0,0,Enrolled
72,1,12,1,0,0,1,0,0,Graduate
73,1,2,1,0,0,1,0,0,Dropout
74,1,11,1,0,0,1,0,0,Dropout
75,1,15,1,0,0,1,0,0,Graduate
76,1,9,1,0,1,1,0,0,Dropout
77,1,11,1,0,0,1,1,0,Dropout
78,1,15,1,0,1,1,1,0,Graduate
79,1,12,1,0,0,1,1,0,Graduate
80,2,3,0,0,0,1,0,0,Graduate
81,1,16,1,0,0,1,0,0,Dropout
82,1,17,0,0,0,1,0,0,Dropout
83,1,4,1,0,1,1,0,0,Dropout
84,1,11,1,0,0,1,0,0,Enrolled
85,2,3,0,0,0,0,0,0,Graduate
86,1,12,1,0,0,0,1,0,Graduate
87,1,14,1,0,0,0,1,0,Graduate
88,1,5,1,0,0,1,0,0,Graduate
89,1,9,1,0,0,1,0,0,Enrolled
90,1,7,1,0,1,1,0,0,Enrolled
91,1,12,1,0,0,1,0,0,Dropout
92,1,15,1,0,0,0,0,1,Graduate
93,1,8,1,0,0,0,0,1,Dropout
94,2,16,1,0,0,0,0,0,Dropout
95,2,3,0,0,0,0,0,0,Graduate
96,1,7,1,0,0,1,0,1,Enrolled
97,1,15,1,0,0,0,0,0,Graduate
98,1,12,1,0,0,0,1,0,Graduate
99,1,6,1,0,0,0,0,0,Enrolled
100,1,12,1,0,1,0,0,0,Dropout
101,1,6,1,0,0,0,0,0,Dropout
102,1,2,1,0,0,0,0,0,Graduate
103,2,3,0,0,0,0,0,0,Dropout
104,4,4,1,0,0,0,0,0,Graduate
105,1,16,1,0,0,0,0,0,Dropout
106,1,5,1,0,1,0,0,0,Graduate
107,1,10,1,0,0,0,0,0,Dropout
108,1,6,1,0,0,0,0,0,Dropout
109,1,12,1,0,0,0,0,0,Dropout
110,1,16,1,0,0,0,0,0,Enrolled
111,1,10,1,0,0,0,0,0,Graduate
112,1,9,1,0,0,0,1,0,Enrolled
113,1,6,1,0,0,0,0,0,Graduate
114,1,15,1,0,0,0,0,0,Graduate
115,1,12,1,0,0,0,0,0,Dropout
116,1,12,1,0,0,0,0,0,Enrolled
117,1,10,1,0,0,0,1,0,Enrolled
118,1,9,1,0,0,0,0,0,Enrolled
119,1,6,1,0,0,0,0,0,Graduate
120,1,9,1,0,0,0,0,0,Graduate
121,1,11,1,0,0,0,0,0,Dropout
122,1,9,1,0,0,0,0,0,Graduate
123,1,2,1,0,0,0,0,0,Dropout
124,1,14,1,0,0,0,1,0,Graduate
125,1,6,1,0,0,0,0,0,Graduate
126,1,13,1,0,0,0,0,0,Dropout
127,1,6,1,0,0,0,0,0,Graduate
128,1,16,1,0,0,0,1,0,Enrolled
129,1,10,1,0,0,0,0,0,Graduate
130,1,12,1,0,0,0,0,0,Graduate
131,1,12,1,0,0,0,1,0,Dropout
132,1,5,1,0,0,0,0,0,Graduate
133,1,9,1,0,0,0,0,0,Graduate
134,1,12,1,0,0,0,0,0,Dropout
135,1,10,1,0,0,0,0,0,Graduate
136,1,14,1,0,1,0,1,0,Dropout
137,1,14,1,0,0,0,0,0,Graduate
138,1,15,1,0,1,0,1,0,Graduate
139,1,12,1,0,0,0,1,0,Enrolled
140,1,12,1,0,0,0,0,0,Graduate
141,1,12,1,0,0,0,0,0,Graduate
142,1,15,1,0,0,0,1,0,Graduate
143,1,9,1,0,1,0,0,0,Enrolled
144,1,10,1,0,0,0,1,0,Graduate
145,1,12,1,0,0,0,1,0,Graduate
146,1,16,1,0,0,0,1,0,Graduate
147,1,11,1,0,0,0,0,0,Dropout
148,1,11,1,0,0,0,0,0,Dropout
149,1,9,1,0,0,0,0,0,Graduate
150,1,12,1,0,0,0,1,0,Graduate
151,1,2,1,0,0,0,0,0,Enrolled
152,1,6,1,0,0,0,0,0,Graduate
153,1,16,1,0,0,0,0,0,Enrolled
154,1,16,1,0,0,0,0,0,Graduate
155,1,16,1,0,0,0,0,0,Dropout
156,1,16,1,0,0,0,0,0,Dropout
157,1,9,1,0,0,0,1,0,Graduate
158,1,10,1,0,0,0,1,0,Graduate
159,1,10,1,0,0,0,0,0,Graduate
160,1,3,0,0,0,0,1,0,Graduate
161,1,14,1,0,0,0,0,0,Dropout
162,1,12,1,0,0,0,1,0,Graduate
163,1,12,1,0,0,0,0,0,Graduate
164,1,16,1,0,0,0,0,0,Dropout
165,1,14,1,0,0,0,0,0,Graduate
166,1,15,1,0,0,0,1,0,Graduate
167,3,4,1,0,1,0,0,0,Enrolled
168,1,10,1,0,0,0,0,0,Graduate
169,1,12,1,0,0,0,0,0,Graduate
170,1,10,1,0,0,0,0,0,Dropout
171,1,6,1,0,0,0,0,0,Enrolled
172,1,13,1,0,0,0,0,0,Graduate
173,1,12,1,0,0,0,0,0,Graduate
174,1,3,0,0,0,0,0,0,Graduate
175,1,11,1,0,1,0,0,0,Dropout
176,1,14,1,0,0,0,1,0,Enrolled
177,1,16,1,0,0,0,0,0,Graduate
178,1,12,1,0,0,0,0,0,Dropout
179,1,16,1,0,0,0,0,0,Dropout
180,1,12,1,0,0,0,0,0,Dropout
181,1,16,1,0,0,0,0,0,Graduate
182,1,17,0,0,0,0,1,0,Enrolled
183,1,15,1,0,1,0,0,0,Dropout
184,1,5,1,0,0,0,0,0,Dropout
185,1,11,1,0,0,0,0,0,Dropout
186,1,9,1,0,1,0,0,0,Dropout
187,1,10,1,0,1,0,0,0,Enrolled
188,1,12,1,0,0,0,1,0,Graduate
189,1,6,1,0,0,0,0,0,Dropout
190,1,5,1,0,0,0,0,0,Graduate
191,1,11,1,0,0,0,1,0,Graduate
192,1,3,0,0,0,0,0,0,Enrolled
193,1,9,1,0,0,0,0,0,Dropout
194,1,16,1,0,0,0,0,0,Dropout
195,1,12,1,0,0,0,0,0,Graduate
196,1,17,0,0,0,0,0,0,Dropout
197,1,12,1,0,0,0,0,0,Graduate
198,1,7,1,0,0,0,0,0,Dropout
199,1,16,1,0,0,0,0,0,Graduate
200,1,12,1,0,0,0,0,0,Enrolled
201,1,6,1,0,0,0,0,0,Graduate
202,1,10,1,0,0,0,0,0,Graduate
203,1,12,1,0,0,0,0,0,Graduate
204,1,10,1,0,1,0,0,0,Graduate
205,1,10,1,0,0,0,1,0,Graduate
206,1,10,1,0,0,0,0,0,Graduate
207,1,12,1,0,0,0,0,0,Graduate
208,1,15,1,0,0,0,1,0,Graduate
209,1,6,1,0,0,0,0,0,Graduate
210,1,11,1,0,0,0,1,0,Dropout
211,1,12,1,0,0,0,1,0,Graduate
212,1,12,1,0,0,0,1,0,Graduate
213,1,8,1,0,0,0,1,0,Graduate
214,1,17,0,0,0,0,1,0,Dropout
215,1,15,1,0,0,0,0,0,Graduate
216,1,13,1,0,0,0,0,0,Enrolled
217,1,9,1,0,0,0,1,0,Graduate
218,1,3,0,0,0,0,0,0,Dropout
219,1,3,0,0,0,0,1,0,Dropout
220,1,6,1,0,0,0,0,0,Dropout
221,1,9,1,0,0,0,1,0,Graduate
222,2,16,1,1,0,0,1,0,Graduate
223,1,11,1,0,0,0,0,0,Dropout
224,1,12,1,0,0,0,1,0,Graduate
225,1,12,1,0,0,0,1,0,Graduate
226,2,17,0,0,0,0,0,0,Graduate
227,2,9,1,0,0,0,0,0,Graduate
228,1,10,1,0,0,0,1,0,Graduate
229,1,14,1,0,0,0,0,0,Dropout
230,1,12,1,0,0,0,1,0,Graduate
231,1,11,1,0,0,0,0,0,Graduate
232,1,11,1,0,0,0,0,0,Dropout
233,1,14,1,0,0,0,0,0,Graduate
234,1,11,1,0,0,0,1,0,Graduate
235,1,9,1,0,0,0,0,0,Dropout
236,1,10,1,0,0,0,1,0,Graduate
237,1,16,1,0,0,0,1,0,Graduate
238,1,10,1,1,0,0,1,0,Graduate
239,1,8,1,0,0,0,0,0,Dropout
240,1,6,1,0,1,0,0,0,Dropout
241,1,12,1,0,0,0,0,0,Enrolled
